description	val_mae	runtime_seconds	status	decision	error_message
no description	0.3825	0.2503	success	keep	
baseline linear regression	0.3825	0.0733	success	discard	
baseline linear regression	0.3825	0.1387	success	discard	
ridge regression alpha 1	0.3821	0.0854	success	keep	
lasso regression alpha 0.01	0.3806	0.2948	success	keep	
random forest 100 trees	0.3311	22.4052	success	keep	
gradient boosting	0.352	2.416	success	discard	
extra trees 500 leaf2 max_features0.7	0.3337	141.0652	success	discard	
random forest 300 max_features0.7	0.3289	100.6221	success	keep	
intentional failure logging test	NA	0.4576	failure	crash	ValueError: too many values to unpack (expected 5)
setup fix validation run	0.3289	82.8059	success	discard	
intentional model failure logging test	NA	0.4857	failure	crash	InvalidParameterError: The 'n_estimators' parameter of RandomForestRegressor must be an int in the range [1, inf). Got 'invalid' instead.
random forest 400 trees max_features0.7	0.3284	115.6487	success	keep	
rf 500 trees	0.3286	145.6189	success	discard	
rf 400 max_features 0.8	0.3297	165.6336	success	discard	
rf 450 trees max_features0.7	0.3285	145.9211	success	discard	
rf max_features controlled 0.5	0.3294	72.1585	success	discard	
rf controlled max_features  0.7	0.3289	116.7758	success	discard	
rf controlled max_features  1.0	0.3296	120.5494	success	discard	
rf controlled max_features  0.85	0.3293	144.2035	success	discard	
rf controlled max_features 0.72	0.33	114.0266	success	discard	
rf controlled max_features 0.75	0.3293	94.0711	success	discard	
rf controlled max_features 0.78	0.3298	109.8493	success	discard	
rf controlled max_features 0.82	0.3292	85.5758	success	discard	
